package,lead_minutes,run_type,event_seed,timing_seed,seed_label,arm,task,n_trees,configured_max_depth,configured_min_leaf,measured_max_depth,measured_mean_depth,measured_min_depth,measured_total_leaves,measured_mean_leaves,measured_max_leaves,used_feature_count,occupied_train_leaves,training_rows
np025,60,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,100,16,16,16,15.98,15,33451,334.51,354,40,33451,7337
np025,60,primary,41,43,event41_timing43,power_noise40,state,150,16,32,16,15.786666666666667,14,68284,455.2266666666667,471,40,68284,21046
np025,60,primary,41,43,event41_timing43,power_noise40,downward_timing,100,16,16,16,15.99,15,33342,333.42,348,40,33342,7337
np025,120,primary,41,43,event41_timing43,power20,state,150,16,32,16,15.813333333333333,14,66779,445.1933333333333,463,20,66779,21042
np025,120,primary,41,43,event41_timing43,power20,downward_timing,100,16,16,16,16.0,16,31661,316.61,340,20,31661,7337
np025,120,primary,41,43,event41_timing43,weather_raw72,state,150,16,32,16,16.0,16,58356,389.04,429,72,58356,21042
np025,120,primary,41,43,event41_timing43,weather_raw72,downward_timing,100,16,16,16,15.99,15,32510,325.1,353,72,32510,7337
np025,120,primary,41,43,event41_timing43,joint_raw88,state,150,16,32,16,16.0,16,59401,396.00666666666666,427,88,59401,21042
np025,120,primary,41,43,event41_timing43,joint_raw88,downward_timing,100,16,16,16,16.0,16,32729,327.29,352,88,32729,7337
np025,120,primary,41,43,event41_timing43,weather_summary20,state,150,16,32,16,16.0,16,61476,409.84,446,20,61476,21042
np025,120,primary,41,43,event41_timing43,weather_summary20,downward_timing,100,16,16,16,16.0,16,31891,318.91,344,20,31891,7337
np025,120,primary,41,43,event41_timing43,weather_projection20,state,150,16,32,16,15.986666666666666,15,62873,419.1533333333333,456,20,62873,21042
np025,120,primary,41,43,event41_timing43,weather_projection20,downward_timing,100,16,16,16,15.97,15,32491,324.91,347,20,32491,7337
np025,120,primary,41,43,event41_timing43,noise20,state,150,16,32,16,15.893333333333333,14,69237,461.58,487,20,69237,21042
np025,120,primary,41,43,event41_timing43,noise20,downward_timing,100,16,16,16,15.96,15,31603,316.03,344,20,31603,7337
np025,120,primary,41,43,event41_timing43,power_weather_summary40,state,150,16,32,16,15.993333333333334,15,64099,427.32666666666665,457,40,64099,21042
np025,120,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,100,16,16,16,16.0,16,32444,324.44,349,40,32444,7337
np025,120,primary,41,43,event41_timing43,power_weather_projection40,state,150,16,32,16,16.0,16,64484,429.8933333333333,458,40,64484,21042
np025,120,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,100,16,16,16,16.0,16,32786,327.86,350,40,32786,7337
np025,120,primary,41,43,event41_timing43,power_noise40,state,150,16,32,16,15.82,15,69010,460.06666666666666,478,40,69010,21042
np025,120,primary,41,43,event41_timing43,power_noise40,downward_timing,100,16,16,16,15.98,14,32706,327.06,347,40,32706,7337
np025,240,primary,41,43,event41_timing43,power20,state,150,16,32,16,15.62,14,66976,446.50666666666666,463,20,66976,21034
np025,240,primary,41,43,event41_timing43,power20,downward_timing,100,16,16,16,16.0,16,31289,312.89,336,20,31289,7337
np025,240,primary,41,43,event41_timing43,weather_raw72,state,150,16,32,16,16.0,16,58338,388.92,429,72,58338,21034
np025,240,primary,41,43,event41_timing43,weather_raw72,downward_timing,100,16,16,16,15.99,15,32510,325.1,353,72,32510,7337
np025,240,primary,41,43,event41_timing43,joint_raw88,state,150,16,32,16,16.0,16,59957,399.7133333333333,432,88,59957,21034
np025,240,primary,41,43,event41_timing43,joint_raw88,downward_timing,100,16,16,16,16.0,16,31058,310.58,346,88,31058,7337
np025,240,primary,41,43,event41_timing43,weather_summary20,state,150,16,32,16,16.0,16,61578,410.52,446,20,61578,21034
np025,240,primary,41,43,event41_timing43,weather_summary20,downward_timing,100,16,16,16,16.0,16,31891,318.91,344,20,31891,7337
np025,240,primary,41,43,event41_timing43,weather_projection20,state,150,16,32,16,15.993333333333334,15,62982,419.88,458,20,62982,21034
np025,240,primary,41,43,event41_timing43,weather_projection20,downward_timing,100,16,16,16,15.97,15,32428,324.28,347,20,32428,7337
np025,240,primary,41,43,event41_timing43,noise20,state,150,16,32,16,15.913333333333334,14,69232,461.5466666666667,485,20,69232,21034
np025,240,primary,41,43,event41_timing43,noise20,downward_timing,100,16,16,16,15.96,15,31603,316.03,344,20,31603,7337
np025,240,primary,41,43,event41_timing43,power_weather_summary40,state,150,16,32,16,15.993333333333334,15,64274,428.49333333333334,455,40,64274,21034
np025,240,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,100,16,16,16,16.0,16,32345,323.45,349,40,32345,7337
np025,240,primary,41,43,event41_timing43,power_weather_projection40,state,150,16,32,16,15.993333333333334,15,65086,433.9066666666667,456,40,65086,21034
np025,240,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,100,16,16,16,16.0,16,32032,320.32,350,40,32032,7337
np025,240,primary,41,43,event41_timing43,power_noise40,state,150,16,32,16,15.653333333333334,14,69421,462.8066666666667,479,40,69421,21034
np025,240,primary,41,43,event41_timing43,power_noise40,downward_timing,100,16,16,16,16.0,16,32636,326.36,347,40,32636,7337
np025,240,robust,42,44,event42_timing44,power20,state,150,16,32,16,15.64,13,67102,447.3466666666667,462,20,67102,21034
np025,240,robust,42,44,event42_timing44,power20,downward_timing,100,16,16,16,16.0,16,31197,311.97,338,20,31197,7337
np025,240,robust,42,44,event42_timing44,weather_raw72,state,150,16,32,16,16.0,16,58522,390.14666666666665,438,72,58522,21034
np025,240,robust,42,44,event42_timing44,weather_raw72,downward_timing,100,16,16,16,15.99,15,31713,317.13,352,72,31713,7337
np025,240,robust,42,44,event42_timing44,joint_raw88,state,150,16,32,16,16.0,16,60160,401.06666666666666,433,88,60160,21034
np025,240,robust,42,44,event42_timing44,joint_raw88,downward_timing,100,16,16,16,16.0,16,31203,312.03,346,88,31203,7337
np025,240,robust,42,44,event42_timing44,weather_summary20,state,150,16,32,16,15.98,15,61758,411.72,446,20,61758,21034
np025,240,robust,42,44,event42_timing44,weather_summary20,downward_timing,100,16,16,16,16.0,16,31864,318.64,342,20,31864,7337
np025,240,robust,42,44,event42_timing44,weather_projection20,state,150,16,32,16,16.0,16,62972,419.81333333333333,451,20,62972,21034
np025,240,robust,42,44,event42_timing44,weather_projection20,downward_timing,100,16,16,16,15.96,15,32640,326.4,349,20,32640,7337
np025,240,robust,42,44,event42_timing44,noise20,state,150,16,32,16,15.966666666666667,15,69182,461.2133333333333,493,20,69182,21034
np025,240,robust,42,44,event42_timing44,noise20,downward_timing,100,16,16,16,16.0,16,31351,313.51,343,20,31351,7337
np025,240,robust,42,44,event42_timing44,power_weather_summary40,state,150,16,32,16,16.0,16,64517,430.11333333333334,457,40,64517,21034
np025,240,robust,42,44,event42_timing44,power_weather_summary40,downward_timing,100,16,16,16,16.0,16,32455,324.55,347,40,32455,7337
np025,240,robust,42,44,event42_timing44,power_weather_projection40,state,150,16,32,16,15.973333333333333,15,65232,434.88,460,40,65232,21034
np025,240,robust,42,44,event42_timing44,power_weather_projection40,downward_timing,100,16,16,16,16.0,16,32194,321.94,348,40,32194,7337
np025,240,robust,42,44,event42_timing44,power_noise40,state,150,16,32,16,15.653333333333334,14,69511,463.4066666666667,478,40,69511,21034
np025,240,robust,42,44,event42_timing44,power_noise40,downward_timing,100,16,16,16,15.99,15,32648,326.48,348,40,32648,7337
np025,240,robust,43,45,event43_timing45,power20,state,150,16,32,16,15.706666666666667,14,67110,447.4,468,20,67110,21034
np025,240,robust,43,45,event43_timing45,power20,downward_timing,100,16,16,16,15.99,15,31313,313.13,341,20,31313,7337
np025,240,robust,43,45,event43_timing45,weather_raw72,state,150,16,32,16,16.0,16,58456,389.70666666666665,437,72,58456,21034
np025,240,robust,43,45,event43_timing45,weather_raw72,downward_timing,100,16,16,16,16.0,16,32213,322.13,351,72,32213,7337
np025,240,robust,43,45,event43_timing45,joint_raw88,state,150,16,32,16,16.0,16,60252,401.68,439,88,60252,21034
np025,240,robust,43,45,event43_timing45,joint_raw88,downward_timing,100,16,16,16,16.0,16,31209,312.09,347,88,31209,7337
np025,240,robust,43,45,event43_timing45,weather_summary20,state,150,16,32,16,15.993333333333334,15,61911,412.74,454,20,61911,21034
np025,240,robust,43,45,event43_timing45,weather_summary20,downward_timing,100,16,16,16,16.0,16,32015,320.15,343,20,32015,7337
np025,240,robust,43,45,event43_timing45,weather_projection20,state,150,16,32,16,16.0,16,62569,417.12666666666667,460,20,62569,21034
np025,240,robust,43,45,event43_timing45,weather_projection20,downward_timing,100,16,16,16,15.95,14,32629,326.29,344,20,32629,7337
np025,240,robust,43,45,event43_timing45,noise20,state,150,16,32,16,15.926666666666666,15,69208,461.38666666666666,484,20,69208,21034
np025,240,robust,43,45,event43_timing45,noise20,downward_timing,100,16,16,16,15.97,14,31635,316.35,340,20,31635,7337
np025,240,robust,43,45,event43_timing45,power_weather_summary40,state,150,16,32,16,15.986666666666666,15,64159,427.7266666666667,452,40,64159,21034
np025,240,robust,43,45,event43_timing45,power_weather_summary40,downward_timing,100,16,16,16,16.0,16,32464,324.64,349,40,32464,7337
np025,240,robust,43,45,event43_timing45,power_weather_projection40,state,150,16,32,16,15.973333333333333,14,65068,433.7866666666667,457,40,65068,21034
np025,240,robust,43,45,event43_timing45,power_weather_projection40,downward_timing,100,16,16,16,16.0,16,32195,321.95,349,40,32195,7337
np025,240,robust,43,45,event43_timing45,power_noise40,state,150,16,32,16,15.553333333333333,14,69446,462.97333333333336,483,40,69446,21034
np025,240,robust,43,45,event43_timing45,power_noise40,downward_timing,100,16,16,16,15.99,15,33010,330.1,350,40,33010,7337
np025,480,primary,41,43,event41_timing43,power20,state,150,16,32,16,15.826666666666666,14,67198,447.9866666666667,470,20,67198,21018
np025,480,primary,41,43,event41_timing43,power20,downward_timing,100,16,16,16,16.0,16,31608,316.08,338,20,31608,7337
np025,480,primary,41,43,event41_timing43,weather_raw72,state,150,16,32,16,16.0,16,58292,388.61333333333334,428,72,58292,21018
np025,480,primary,41,43,event41_timing43,weather_raw72,downward_timing,100,16,16,16,15.99,15,32510,325.1,353,72,32510,7337
np025,480,primary,41,43,event41_timing43,joint_raw88,state,150,16,32,16,16.0,16,61244,408.29333333333335,436,88,61244,21018
np025,480,primary,41,43,event41_timing43,joint_raw88,downward_timing,100,16,16,16,16.0,16,31007,310.07,352,88,31007,7337
np025,480,primary,41,43,event41_timing43,weather_summary20,state,150,16,32,16,16.0,16,61588,410.58666666666664,443,20,61588,21018
np025,480,primary,41,43,event41_timing43,weather_summary20,downward_timing,100,16,16,16,16.0,16,31891,318.91,344,20,31891,7337
np025,480,primary,41,43,event41_timing43,weather_projection20,state,150,16,32,16,15.98,14,62781,418.54,452,20,62781,21018
np025,480,primary,41,43,event41_timing43,weather_projection20,downward_timing,100,16,16,16,15.99,15,32441,324.41,346,20,32441,7337
np025,480,primary,41,43,event41_timing43,noise20,state,150,16,32,16,15.94,14,69257,461.7133333333333,489,20,69257,21018
np025,480,primary,41,43,event41_timing43,noise20,downward_timing,100,16,16,16,15.96,15,31603,316.03,344,20,31603,7337
np025,480,primary,41,43,event41_timing43,power_weather_summary40,state,150,16,32,16,15.98,15,64413,429.42,454,40,64413,21018
np025,480,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,100,16,16,16,15.99,15,31951,319.51,346,40,31951,7337
np025,480,primary,41,43,event41_timing43,power_weather_projection40,state,150,16,32,16,16.0,16,65483,436.55333333333334,458,40,65483,21018
np025,480,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,100,16,16,16,16.0,16,32887,328.87,349,40,32887,7337
np025,480,primary,41,43,event41_timing43,power_noise40,state,150,16,32,16,15.873333333333333,15,70010,466.73333333333335,483,40,70010,21018
np025,480,primary,41,43,event41_timing43,power_noise40,downward_timing,100,16,16,16,15.99,15,32404,324.04,348,40,32404,7337
np025,720,primary,41,43,event41_timing43,power20,state,150,16,32,16,15.9,14,67255,448.3666666666667,466,20,67255,21002
np025,720,primary,41,43,event41_timing43,power20,downward_timing,100,16,16,16,15.94,13,31430,314.3,339,20,31430,7337
np025,720,primary,41,43,event41_timing43,weather_raw72,state,150,16,32,16,16.0,16,58274,388.49333333333334,428,72,58274,21002
np025,720,primary,41,43,event41_timing43,weather_raw72,downward_timing,100,16,16,16,15.99,15,32510,325.1,353,72,32510,7337
np025,720,primary,41,43,event41_timing43,joint_raw88,state,150,16,32,16,16.0,16,60250,401.6666666666667,437,88,60250,21002
np025,720,primary,41,43,event41_timing43,joint_raw88,downward_timing,100,16,16,16,16.0,16,32016,320.16,356,88,32016,7337
np025,720,primary,41,43,event41_timing43,weather_summary20,state,150,16,32,16,16.0,16,61601,410.67333333333335,443,20,61601,21002
np025,720,primary,41,43,event41_timing43,weather_summary20,downward_timing,100,16,16,16,16.0,16,31891,318.91,344,20,31891,7337
np025,720,primary,41,43,event41_timing43,weather_projection20,state,150,16,32,16,15.993333333333334,15,62885,419.23333333333335,452,20,62885,21002
np025,720,primary,41,43,event41_timing43,weather_projection20,downward_timing,100,16,16,16,15.99,15,32537,325.37,346,20,32537,7337
np025,720,primary,41,43,event41_timing43,noise20,state,150,16,32,16,15.966666666666667,15,69267,461.78,491,20,69267,21002
np025,720,primary,41,43,event41_timing43,noise20,downward_timing,100,16,16,16,15.96,15,31603,316.03,344,20,31603,7337
