package,lead_minutes,run_type,event_seed,timing_seed,seed_label,comparison,candidate,reference,task,metric,valid_windows,blocks,candidate_score,reference_score,difference,reduction_pct,difference_low,difference_high,reduction_low,reduction_high
np025,15,robust,43,45,event43_timing45,weather_summary20_vs_noise20,weather_summary20,noise20,state,multiclass_brier,6996,12,0.6107165276541977,0.8300871948500939,-0.21937066719589615,26.427424559357583,-0.28125510305616463,-0.14956135478579746,20.89440718394481,30.54063042229201
np025,15,robust,43,45,event43_timing45,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_rps,2653,10,0.1676058167449096,0.16767913253035854,-7.331578544894635e-05,0.04372385778872445,-0.0020723878547350117,0.0019147330510959422,-1.1571407633667796,1.2162911384656874
np025,15,robust,43,45,event43_timing45,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_median_mae_minutes,2653,10,56.27402940067848,56.189219751225025,0.08480964945345448,-0.15093580197222956,-1.1058637544908305,1.1136638471177909,-2.0347248511712563,1.9188354410208937
np025,15,robust,43,45,event43_timing45,weather_projection20_vs_noise20,weather_projection20,noise20,state,return_brier,6996,12,0.17645597335780605,0.20528465573649946,-0.028828682378693404,14.043271902259225,-0.04386872914014902,-0.013755917810799476,8.378844607873145,18.531855519047678
np025,15,robust,43,45,event43_timing45,weather_projection20_vs_noise20,weather_projection20,noise20,state,multiclass_brier,6996,12,0.6193900781933892,0.8300871948500939,-0.21069711665670465,25.38252824087409,-0.28088168847375317,-0.1331868801194685,19.09548857590699,30.126664122829453
np025,15,robust,43,45,event43_timing45,weather_projection20_vs_noise20,weather_projection20,noise20,downward_timing,conditional_rps,2653,10,0.17244621131925422,0.16767913253035854,0.004767078788895679,-2.8429767717414567,0.0022648306428734613,0.0070012621613899885,-4.250790355795794,-1.3242497889630047
np025,15,robust,43,45,event43_timing45,weather_projection20_vs_noise20,weather_projection20,noise20,downward_timing,conditional_median_mae_minutes,2653,10,57.84018092725217,56.189219751225025,1.6509611760271454,-2.93821694505938,0.5974970008030145,2.53737083336741,-4.655666296430465,-1.035768537737594
np025,15,robust,43,45,event43_timing45,power_weather_summary40_vs_power_noise40,power_weather_summary40,power_noise40,state,return_brier,6996,12,0.1603224566139567,0.16000594069078697,0.00031651592316972454,-0.19781510724117268,-0.0037351136568667676,0.004330466996379391,-2.6287439792680956,2.4150269446152035
np025,15,robust,43,45,event43_timing45,power_weather_summary40_vs_power_noise40,power_weather_summary40,power_noise40,state,multiclass_brier,6996,12,0.5465037012441482,0.5781057314266954,-0.03160203018254726,5.466479307263961,-0.04703077249065242,-0.018419217317930444,2.9678151607364183,8.58880820962906
np025,15,robust,43,45,event43_timing45,power_weather_summary40_vs_power_noise40,power_weather_summary40,power_noise40,downward_timing,conditional_rps,2653,10,0.15392293356122425,0.15419232667131913,-0.0002693931100948843,0.17471239711501774,-0.002966956936886961,0.0027620087227477057,-1.7466427941592415,1.9522065407993867
np025,15,robust,43,45,event43_timing45,power_weather_summary40_vs_power_noise40,power_weather_summary40,power_noise40,downward_timing,conditional_median_mae_minutes,2653,10,50.55220505088579,51.03844704108556,-0.48624199019977254,0.9526974631660523,-1.4061154992530827,0.549071610696809,-1.0502360403244109,2.7776376380400896
np025,15,robust,43,45,event43_timing45,power_weather_projection40_vs_power_noise40,power_weather_projection40,power_noise40,state,return_brier,6996,12,0.16217925439779196,0.16000594069078697,0.0021733137070049924,-1.358270635216563,-0.0021115332167695685,0.006420167733865206,-4.363018660275812,1.322643387866528
np025,15,robust,43,45,event43_timing45,power_weather_projection40_vs_power_noise40,power_weather_projection40,power_noise40,state,multiclass_brier,6996,12,0.5573902590053147,0.5781057314266954,-0.02071547242138072,3.5833362818004644,-0.035443259739765476,-0.00743834531966455,1.3549301164098948,6.01398952140381
np025,15,robust,43,45,event43_timing45,power_weather_projection40_vs_power_noise40,power_weather_projection40,power_noise40,downward_timing,conditional_rps,2653,10,0.15575027906339042,0.15419232667131913,0.0015579523920712934,-1.0103955402348097,-0.0007715702012262724,0.004386718350838756,-2.7408887498925205,0.5187282971863687
