package,lead_minutes,run_type,event_seed,timing_seed,seed_label,arm,task,metric,absolute_score,relative_vs_frequency_pct,frequency_score,windows,valid_windows,positive_events
np025,60,primary,41,43,event41_timing43,noise20,state,return_brier,0.2063988558715354,-13.759355814789132,0.18143462082149273,6996,6996,2653
np025,60,primary,41,43,event41_timing43,noise20,state,multiclass_brier,0.8341783859943953,-20.519476284388148,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,noise20,downward_timing,conditional_rps,0.1678359861173964,-1.2090868930684229,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,noise20,downward_timing,conditional_median_mae_minutes,56.15529589144365,-1.7727226150220377,55.17715793441387,6996,2653,2653
np025,60,primary,41,43,event41_timing43,power_weather_summary40,state,return_brier,0.16420810060259097,9.494615824093644,0.18143462082149273,6996,6996,2653
np025,60,primary,41,43,event41_timing43,power_weather_summary40,state,multiclass_brier,0.5686151836902011,17.8482620788563,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,conditional_rps,0.16107650731989115,2.867039406151106,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,conditional_median_mae_minutes,53.39050131926121,3.238036684086487,55.17715793441387,6996,2653,2653
np025,60,primary,41,43,event41_timing43,power_weather_projection40,state,return_brier,0.16553950277198465,8.760796576496134,0.18143462082149273,6996,6996,2653
np025,60,primary,41,43,event41_timing43,power_weather_projection40,state,multiclass_brier,0.5764798604559942,16.71199825222949,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,conditional_rps,0.16214888881556447,2.2203678877902977,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,conditional_median_mae_minutes,53.70147003392386,2.6744543498309237,55.17715793441387,6996,2653,2653
np025,60,primary,41,43,event41_timing43,power_noise40,state,return_brier,0.163879679141166,9.675629491682535,0.18143462082149273,6996,6996,2653
np025,60,primary,41,43,event41_timing43,power_noise40,state,multiclass_brier,0.6027957558848573,12.909960236990592,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,power_noise40,downward_timing,conditional_rps,0.1602887517862036,3.3420747076013613,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,power_noise40,downward_timing,conditional_median_mae_minutes,52.94383716547305,4.047545855108103,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,power20,state,return_brier,0.16658046313415645,8.18512310878029,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,power20,state,multiclass_brier,0.6156173907040825,11.056532829143517,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,power20,downward_timing,conditional_rps,0.1644505466017027,0.832413562473977,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,power20,downward_timing,conditional_median_mae_minutes,54.47041085563513,1.28086894148991,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,weather_raw72,state,return_brier,0.17432919633063296,3.9142202002895754,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,weather_raw72,state,multiclass_brier,0.6234666049022265,9.922490263271266,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_rps,0.17093569327677635,-3.078283949635985,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_median_mae_minutes,56.66415378816434,-2.6949482528947577,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,joint_raw88,state,return_brier,0.16597148369552853,8.520776949182185,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,joint_raw88,state,multiclass_brier,0.5925626901686234,14.38744100550985,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,joint_raw88,downward_timing,conditional_rps,0.16748046926308877,-0.9947017839393002,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,joint_raw88,downward_timing,conditional_median_mae_minutes,55.635130041462496,-0.8300030740854725,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,weather_summary20,state,return_brier,0.17034499875244782,6.110207672462464,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,weather_summary20,state,multiclass_brier,0.6071829162190281,12.275132913859888,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,weather_summary20,downward_timing,conditional_rps,0.16706048694034722,-0.7414424658442442,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,weather_summary20,downward_timing,conditional_median_mae_minutes,56.03090840557859,-1.5472896813198078,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,weather_projection20,state,return_brier,0.17447691185187963,3.83280319529985,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,weather_projection20,state,multiclass_brier,0.617100577982816,10.842244180014571,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,weather_projection20,downward_timing,conditional_rps,0.17221270955882576,-3.848355105671608,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,weather_projection20,downward_timing,conditional_median_mae_minutes,57.930644553335846,-4.99026539604468,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,noise20,state,return_brier,0.20660376042590406,-13.874691376565607,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,noise20,state,multiclass_brier,0.8353830085375747,-20.694870412893884,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,noise20,downward_timing,conditional_rps,0.1678359861173964,-1.2090868930684229,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,noise20,downward_timing,conditional_median_mae_minutes,56.15529589144365,-1.7727226150220377,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,power_weather_summary40,state,return_brier,0.1655935062598898,8.72910841295582,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,power_weather_summary40,state,multiclass_brier,0.5813216821508707,16.011524799586617,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,conditional_rps,0.16417934409696452,0.9959551157643687,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,conditional_median_mae_minutes,54.340369393139845,1.5165488267240401,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,power_weather_projection40,state,return_brier,0.168081202211671,7.35795423762119,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,power_weather_projection40,state,multiclass_brier,0.5920777728073544,14.457501130603578,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,conditional_rps,0.16568929158068998,0.08542091139268626,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,conditional_median_mae_minutes,54.97361477572559,0.36889025514909024,55.17715793441387,6996,2653,2653
np025,120,primary,41,43,event41_timing43,power_noise40,state,return_brier,0.16701160693711598,7.947487707567236,0.1814307972459816,6996,6996,2653
np025,120,primary,41,43,event41_timing43,power_noise40,state,multiclass_brier,0.6199496416420005,10.430615782466324,0.6921445838416762,6996,6996,2653
np025,120,primary,41,43,event41_timing43,power_noise40,downward_timing,conditional_rps,0.16272214401304502,1.8746813849378707,0.16583094588603695,6996,2653,2653
np025,120,primary,41,43,event41_timing43,power_noise40,downward_timing,conditional_median_mae_minutes,54.31209950998869,1.5677835843836418,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,power20,state,return_brier,0.1733884809493932,4.428691297065113,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,power20,state,multiclass_brier,0.6440337500421701,6.948901406810082,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,power20,downward_timing,conditional_rps,0.16666954805004194,-0.5056970274904593,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,power20,downward_timing,conditional_median_mae_minutes,55.459856765925366,-0.5123475765959729,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,weather_raw72,state,return_brier,0.1742170677238427,3.9719762836196826,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,weather_raw72,state,multiclass_brier,0.6234192481864582,9.927319920590982,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_rps,0.17093569327677635,-3.078283949635985,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_median_mae_minutes,56.66415378816434,-2.6949482528947577,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,joint_raw88,state,return_brier,0.17218662680462932,5.091150376562171,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,joint_raw88,state,multiclass_brier,0.6101653943130622,11.842259414728296,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,joint_raw88,downward_timing,conditional_rps,0.18255613277274932,-10.085685031433345,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,joint_raw88,downward_timing,conditional_median_mae_minutes,60.288352808141724,-9.263244184855001,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,weather_summary20,state,return_brier,0.17064278408832095,5.942112724355908,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,weather_summary20,state,multiclass_brier,0.6071711829707771,12.274868194627754,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,weather_summary20,downward_timing,conditional_rps,0.16706048694034722,-0.7414424658442442,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,weather_summary20,downward_timing,conditional_median_mae_minutes,56.03090840557859,-1.5472896813198078,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,weather_projection20,state,return_brier,0.17471097162918986,3.6997376530655823,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,weather_projection20,state,multiclass_brier,0.6166001231004822,10.912558785251269,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,weather_projection20,downward_timing,conditional_rps,0.17206184990847792,-3.757383152552851,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,weather_projection20,downward_timing,conditional_median_mae_minutes,57.6196758386732,-4.426683061789127,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,noise20,state,return_brier,0.2060956034199906,-13.599395005475978,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,noise20,state,multiclass_brier,0.8285073817899402,-19.704164670055626,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,noise20,downward_timing,conditional_rps,0.1678359861173964,-1.2090868930684229,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,noise20,downward_timing,conditional_median_mae_minutes,56.15529589144365,-1.7727226150220377,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,power_weather_summary40,state,return_brier,0.17144636475409922,5.499181017149701,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,power_weather_summary40,state,multiclass_brier,0.6028465024341775,12.899705441074595,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,conditional_rps,0.16816996557612718,-1.410484441002735,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,conditional_median_mae_minutes,56.00263852242744,-1.496054923660206,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,power_weather_projection40,state,return_brier,0.17421969346582572,3.970528981029231,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,power_weather_projection40,state,multiclass_brier,0.6144058214885093,11.22959523811653,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,conditional_rps,0.16855071068918553,-1.6400827895040049,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,conditional_median_mae_minutes,56.23445156426687,-1.9161799364689092,55.17715793441387,6996,2653,2653
np025,240,primary,41,43,event41_timing43,power_noise40,state,return_brier,0.173252877719023,4.503435467611283,0.18142315230645012,6996,6996,2653
np025,240,primary,41,43,event41_timing43,power_noise40,state,multiclass_brier,0.6505131474263557,6.012746982013506,0.6921291202136378,6996,6996,2653
np025,240,primary,41,43,event41_timing43,power_noise40,downward_timing,conditional_rps,0.16531870405205693,0.30889399517267657,0.16583094588603695,6996,2653,2653
np025,240,primary,41,43,event41_timing43,power_noise40,downward_timing,conditional_median_mae_minutes,55.22804372408594,-0.09222256378726978,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,power20,state,return_brier,0.1793285586116106,1.1462086476462408,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,power20,state,multiclass_brier,0.6703295986151322,3.1453416509621857,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,power20,downward_timing,conditional_rps,0.16655073774970425,-0.4340515938213052,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,power20,downward_timing,conditional_median_mae_minutes,55.70863173765549,-0.9632134440004103,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,weather_raw72,state,return_brier,0.17384025258614932,4.171604395647799,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,weather_raw72,state,multiclass_brier,0.6229158341852407,9.996066972335814,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_rps,0.17093569327677635,-3.078283949635985,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_median_mae_minutes,56.66415378816434,-2.6949482528947577,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,joint_raw88,state,return_brier,0.1746193826230548,3.7421136402382538,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,joint_raw88,state,multiclass_brier,0.6245506894435242,9.759849822118504,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,joint_raw88,downward_timing,conditional_rps,0.18232566919691712,-9.946710020104298,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,joint_raw88,downward_timing,conditional_median_mae_minutes,61.07425555974368,-10.687570447791783,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,weather_summary20,state,return_brier,0.17072339034959874,5.889755991754219,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,weather_summary20,state,multiclass_brier,0.6078148730358812,12.177976343315343,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,weather_summary20,downward_timing,conditional_rps,0.16706048694034722,-0.7414424658442442,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,weather_summary20,downward_timing,conditional_median_mae_minutes,56.03090840557859,-1.5472896813198078,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,weather_projection20,state,return_brier,0.1751856066272082,3.4299860572217566,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,weather_projection20,state,multiclass_brier,0.6171822230858108,10.824505616979884,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,weather_projection20,downward_timing,conditional_rps,0.17229539577435912,-3.898216858007131,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,weather_projection20,downward_timing,conditional_median_mae_minutes,57.74971730116849,-4.662362947023269,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,noise20,state,return_brier,0.20515689637992174,-13.091507489115472,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,noise20,state,multiclass_brier,0.8214694249676758,-18.69256655800118,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,noise20,downward_timing,conditional_rps,0.1678359861173964,-1.2090868930684229,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,noise20,downward_timing,conditional_median_mae_minutes,56.15529589144365,-1.7727226150220377,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,power_weather_summary40,state,return_brier,0.17203132887524775,5.168762731577303,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,power_weather_summary40,state,multiclass_brier,0.6155106229976837,11.066031958299527,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,conditional_rps,0.1691692686009772,-2.0130879053384954,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,conditional_median_mae_minutes,56.47191858273653,-2.3465519008095237,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,power_weather_projection40,state,return_brier,0.17611981734606158,2.9150080069008544,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,power_weather_projection40,state,multiclass_brier,0.6295341871490927,9.039793645793848,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,conditional_rps,0.16875065069891299,-1.7606513653263045,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,conditional_median_mae_minutes,56.09875612514135,-1.6702530997028342,55.17715793441387,6996,2653,2653
np025,480,primary,41,43,event41_timing43,power_noise40,state,return_brier,0.18074431152613435,0.36578335285576413,0.18140787132019362,6996,6996,2653
np025,480,primary,41,43,event41_timing43,power_noise40,state,multiclass_brier,0.68148119654606,1.5340683163559743,0.6920984597348399,6996,6996,2653
np025,480,primary,41,43,event41_timing43,power_noise40,downward_timing,conditional_rps,0.16667530879180398,-0.5091708916303839,0.16583094588603695,6996,2653,2653
np025,480,primary,41,43,event41_timing43,power_noise40,downward_timing,conditional_median_mae_minutes,55.58989822842066,-0.7480274618301141,55.17715793441387,6996,2653,2653
np025,720,primary,41,43,event41_timing43,power20,state,return_brier,0.181834166110472,-0.24342989976158247,0.1813926022805655,6996,6996,2653
np025,720,primary,41,43,event41_timing43,power20,state,multiclass_brier,0.6887725529816229,0.4761963676778391,0.692068156404275,6996,6996,2653
np025,720,primary,41,43,event41_timing43,power20,downward_timing,conditional_rps,0.1693964082263413,-2.1500584955685076,0.16583094588603695,6996,2653,2653
np025,720,primary,41,43,event41_timing43,power20,downward_timing,conditional_median_mae_minutes,56.63022992838296,-2.6334665437032445,55.17715793441387,6996,2653,2653
np025,720,primary,41,43,event41_timing43,weather_raw72,state,return_brier,0.17358455501090375,4.3045014909620205,0.1813926022805655,6996,6996,2653
np025,720,primary,41,43,event41_timing43,weather_raw72,state,multiclass_brier,0.6224167858310834,10.064235715608394,0.692068156404275,6996,6996,2653
np025,720,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_rps,0.17093569327677635,-3.078283949635985,0.16583094588603695,6996,2653,2653
np025,720,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_median_mae_minutes,56.66415378816434,-2.6949482528947577,55.17715793441387,6996,2653,2653
