package,lead_minutes,seed,arm,task,metric,absolute_score,relative_gain_pct
np028,720,41,joint,downward_timing,conditional_rps,0.16634951059364872,
np028,720,42,joint,event,multiclass_brier,0.6667867152961474,
np028,720,42,joint,downward_timing,conditional_rps,0.16668184066288352,
np028,720,43,joint,event,multiclass_brier,0.6737798427932125,
np028,720,43,joint,downward_timing,conditional_rps,0.16537629535083595,
np028,720,41,weather_added_to_power,event,multiclass_brier,,12.10681262994511
np028,720,41,joint_added_to_power,event,multiclass_brier,,12.525557004059765
np028,720,41,power_added_to_weather,downward_timing,conditional_rps,,4.118314357386241
np028,720,42,weather_added_to_power,event,multiclass_brier,,13.161787740985417
np028,720,42,joint_added_to_power,event,multiclass_brier,,13.219277346615707
np028,720,42,power_added_to_weather,downward_timing,conditional_rps,,3.8775119688686686
np028,720,43,weather_added_to_power,event,multiclass_brier,,12.651712652802848
np028,720,43,joint_added_to_power,event,multiclass_brier,,12.090782508003855
np028,720,43,power_added_to_weather,downward_timing,conditional_rps,,3.9633112802182904
