package,route_package,lead_minutes,metric,reference,route_score,reference_score,relative_loss_reduction_pct,low,high,windows,valid_windows,n_blocks,bootstrap_draws,bootstrap_seed
np025,np026,480,conditional_rps,constructed_joint,0.16655073774970425,0.18232566919691712,8.652062826203299,5.398061919556325,12.323830642134611,6996,2653,12,2000,41
np025,np026,480,conditional_median_mae_minutes,constructed_joint,55.70863173765549,61.07425555974368,8.785410109239022,4.7446611408352615,13.255009842733607,6996,2653,12,2000,41
np025,np026,720,joint_first_passage_RPS,direct_joint,2.2316603600497174,2.2079387615100208,-1.0743775576218084,-2.0698685716734198,-0.1380993557461527,6996,6996,12,2000,41
np025,np026,720,conditional_rps,direct_joint,0.1693964082263413,0.1684444624474816,-0.5651392542254108,-2.184520488310186,0.852206592731829,6996,2653,12,2000,41
np025,np026,720,conditional_median_mae_minutes,direct_joint,56.63022992838296,56.15529589144365,-0.8457511075312008,-2.8564091461184757,0.8613977347199965,6996,2653,12,2000,41
np025,np026,720,joint_first_passage_RPS,constructed_joint,2.2316603600497174,2.230083440462046,-0.07071123703534798,-0.45471446578743135,0.2528907520545897,6996,6996,12,2000,41
np025,np026,720,conditional_rps,constructed_joint,0.1693964082263413,0.1682036851354772,-0.709094506403618,-2.102021463969934,0.48779653688695923,6996,2653,12,2000,41
np025,np026,720,conditional_median_mae_minutes,constructed_joint,56.63022992838296,55.82171127026008,-1.4483946115668944,-3.5501912029275724,0.6393229492984489,6996,2653,12,2000,41
np028,np029,15,joint_first_passage_RPS,direct_joint,1.6882684274973099,1.7125392200970755,1.4172401025881243,-0.23999414563582622,4.082588536890164,3772,3772,7,2000,41
np028,np029,15,conditional_rps,direct_joint,0.15383879324386202,0.15729361522146187,2.1964159020285923,-1.596096244278528,5.790971516656462,3772,1328,7,2000,41
np028,np029,15,conditional_median_mae_minutes,direct_joint,50.7605421686747,52.57906626506024,3.458646616541361,-0.5296142099821455,7.566221451269296,3772,1328,7,2000,41
np028,np029,15,joint_first_passage_RPS,constructed_joint,1.6882684274973099,1.714606934751037,1.5361250861586906,-0.3171661115319563,3.126715242000884,3772,3772,7,2000,41
np028,np029,15,conditional_rps,constructed_joint,0.15383879324386202,0.15569109194273278,1.1897268339232214,-1.8532438895868475,3.728885608077448,3772,1328,7,2000,41
np028,np029,15,conditional_median_mae_minutes,constructed_joint,50.7605421686747,52.02560240963855,2.4316109422492405,-1.4463134727244142,5.669300586632264,3772,1328,7,2000,41
np028,np029,60,joint_first_passage_RPS,direct_joint,1.8668111251881379,1.9017639162314905,1.8379143039276236,0.2406451068773685,5.209485305178419,3772,3772,7,2000,41
np028,np029,60,conditional_rps,direct_joint,0.15985833159471152,0.16459143307410057,2.8756669718393857,0.7756411230655924,5.345717071768552,3772,1328,7,2000,41
np028,np029,60,conditional_median_mae_minutes,direct_joint,53.35843373493976,54.612198795180724,2.2957600827300917,-0.32057820380189334,4.258392301365595,3772,1328,7,2000,41
np028,np029,60,joint_first_passage_RPS,constructed_joint,1.8668111251881379,1.8876605189640199,1.104509712759394,-0.20117507906368567,2.7248495088918485,3772,3772,7,2000,41
np028,np029,60,conditional_rps,constructed_joint,0.15985833159471152,0.16328804226901036,2.100405287882956,0.32564617941027163,4.056414145490961,3772,1328,7,2000,41
np028,np029,60,conditional_median_mae_minutes,constructed_joint,53.35843373493976,54.73644578313253,2.5175402393726842,-0.4922874958976031,5.381697622651882,3772,1328,7,2000,41
np028,np029,120,joint_first_passage_RPS,direct_joint,1.9600109896479652,1.9947175322478277,1.7399226726980244,0.3006789338246163,3.9996433106377167,3772,3772,7,2000,41
np028,np029,120,conditional_rps,direct_joint,0.16295397418629945,0.16751885900269603,2.7249975576320695,0.9650290475912843,4.372447265444391,3772,1328,7,2000,41
np028,np029,120,conditional_median_mae_minutes,direct_joint,54.25075301204819,56.1144578313253,3.3212560386473466,0.6945916516051109,5.931958061194904,3772,1328,7,2000,41
np028,np029,120,joint_first_passage_RPS,constructed_joint,1.9600109896479652,1.9718728704517905,0.6015540343180192,-0.4129795565778216,1.7002618994640635,3772,3772,7,2000,41
np028,np029,120,conditional_rps,constructed_joint,0.16295397418629945,0.16552210882554547,1.551535717776975,0.41023274716014413,2.2637116881151105,3772,1328,7,2000,41
np028,np029,120,conditional_median_mae_minutes,constructed_joint,54.25075301204819,55.15436746987952,1.6383370878558234,0.363484479685674,3.251791364832805,3772,1328,7,2000,41
np028,np029,240,joint_first_passage_RPS,direct_joint,2.0436304496267095,2.173378723006346,5.969887898790183,1.2944170752166584,13.454605811354782,3772,3772,7,2000,41
np028,np029,240,conditional_rps,direct_joint,0.16766590833909342,0.16944381755875995,1.049261782035793,-0.828676646808114,3.2120659940157017,3772,1328,7,2000,41
np028,np029,240,conditional_median_mae_minutes,direct_joint,56.41942771084337,56.848644578313255,0.7550168885356756,-1.2501384785819751,3.253341841197374,3772,1328,7,2000,41
np028,np029,240,joint_first_passage_RPS,constructed_joint,2.0436304496267095,2.053377663872121,0.4746917440910936,-0.5105068390999085,1.089394383763789,3772,3772,7,2000,41
np028,np029,240,conditional_rps,constructed_joint,0.16766590833909342,0.16818021020368554,0.3058040324537825,-1.3919198702598068,1.7043915793118505,3772,1328,7,2000,41
np028,np029,240,conditional_median_mae_minutes,constructed_joint,56.41942771084337,56.295180722891565,-0.2207062600320997,-2.0433436532507843,1.024844720496898,3772,1328,7,2000,41
np028,np029,480,joint_first_passage_RPS,direct_joint,2.1899520133873054,2.4662252505319393,11.202271044992528,1.8339769610113401,22.31679481307445,3772,3772,7,2000,41
np028,np029,480,conditional_rps,direct_joint,0.16725057499983872,0.16877252450912367,0.901775637777269,-2.5234506707793303,5.705579195127468,3772,1328,7,2000,41
np028,np029,480,conditional_median_mae_minutes,direct_joint,56.09186746987952,56.5210843373494,0.7593924860112011,-3.410089646686587,6.50920184434374,3772,1328,7,2000,41
np028,np029,480,joint_first_passage_RPS,constructed_joint,2.1899520133873054,2.2068223432128846,0.7644625258333204,-0.6877573118718461,3.3988448491813124,3772,3772,7,2000,41
np028,np029,480,conditional_rps,constructed_joint,0.16725057499983872,0.16857718964860763,0.7869478970044419,-1.2880933204601597,4.030459460046235,3772,1328,7,2000,41
np028,np029,480,conditional_median_mae_minutes,constructed_joint,56.09186746987952,56.81475903614458,1.2723658051689846,-1.3615388558680552,5.131161718074373,3772,1328,7,2000,41
