bin_low,bin_high,n,mean_pred,obs_rate,abs_gap,package,lead_minutes,arm,target
0.0,0.1,1069,0.051761689680358665,0.13938260056127222,0.08762091088091356,np028,60,weather,return
0.1,0.2,1350,0.14881172082148025,0.15037037037037038,0.001558649548890123,np028,60,weather,return
0.2,0.30000000000000004,726,0.24201509845650832,0.26721763085399447,0.025202532397486155,np028,60,weather,return
0.30000000000000004,0.4,339,0.3431137554047148,0.3480825958702065,0.004968840465491731,np028,60,weather,return
0.4,0.5,252,0.4421314544065156,0.40476190476190477,0.03736954964461081,np028,60,weather,return
0.5,0.6000000000000001,29,0.5489885656693628,0.5172413793103449,0.031747186359017965,np028,60,weather,return
0.6000000000000001,0.7000000000000001,7,0.6210746589361847,1.0,0.37892534106381526,np028,60,weather,return
0.0,0.1,421,0.05882844804681788,0.2375296912114014,0.17870124316458352,np028,60,weather,downward
0.1,0.2,586,0.15084654378126852,0.1689419795221843,0.018095435740915766,np028,60,weather,downward
0.2,0.30000000000000004,423,0.2488496526035341,0.3049645390070922,0.056114886403558106,np028,60,weather,downward
0.30000000000000004,0.4,469,0.34769057945464543,0.3773987206823028,0.02970814122765736,np028,60,weather,downward
0.4,0.5,363,0.45516334070333736,0.38016528925619836,0.074998051447139,np028,60,weather,downward
0.5,0.6000000000000001,705,0.5501938989122789,0.39574468085106385,0.15444921806121503,np028,60,weather,downward
0.6000000000000001,0.7000000000000001,381,0.6420936945571547,0.46981627296587924,0.17227742159127546,np028,60,weather,downward
0.7000000000000001,0.8,268,0.7468729083896882,0.5597014925373134,0.18717141585237485,np028,60,weather,downward
0.8,0.9,156,0.8323992017454935,0.4935897435897436,0.3388094581557499,np028,60,weather,downward
0.0,0.1,1621,0.047163227712653244,0.10302282541640963,0.05585959770375638,np028,60,joint,return
0.1,0.2,1032,0.13922029003021796,0.2054263565891473,0.06620606655892933,np028,60,joint,return
0.2,0.30000000000000004,457,0.2503594175303246,0.3522975929978118,0.10193817546748724,np028,60,joint,return
0.30000000000000004,0.4,343,0.35048058059381204,0.3206997084548105,0.029780872139001546,np028,60,joint,return
0.4,0.5,251,0.4444736136142467,0.4063745019920319,0.0380991116222148,np028,60,joint,return
0.5,0.6000000000000001,61,0.534218607856956,0.4918032786885246,0.04241532916843138,np028,60,joint,return
0.6000000000000001,0.7000000000000001,7,0.6190683457074792,0.8571428571428571,0.23807451143537794,np028,60,joint,return
0.0,0.1,825,0.0462250589172282,0.12727272727272726,0.08104766835549906,np028,60,joint,downward
0.1,0.2,679,0.15070972125939705,0.20176730486008837,0.05105758360069132,np028,60,joint,downward
0.2,0.30000000000000004,453,0.24593653455795675,0.1986754966887417,0.04726103786921504,np028,60,joint,downward
0.30000000000000004,0.4,291,0.3452048511834111,0.30584192439862545,0.039362926784785646,np028,60,joint,downward
0.4,0.5,244,0.4521561200189691,0.4344262295081967,0.017729890510772395,np028,60,joint,downward
0.5,0.6000000000000001,282,0.550604793165762,0.46099290780141844,0.08961188536434361,np028,60,joint,downward
0.6000000000000001,0.7000000000000001,259,0.6519625520156879,0.5752895752895753,0.07667297672611262,np028,60,joint,downward
0.7000000000000001,0.8,481,0.7482809308391276,0.6486486486486487,0.09963228219047893,np028,60,joint,downward
0.8,0.9,257,0.8366126417381571,0.8132295719844358,0.023383069753721286,np028,60,joint,downward
0.9,1.0,1,0.9000038669405754,1.0,0.09999613305942456,np028,60,joint,downward
0.0,0.1,1154,0.051527315765615325,0.15251299826689774,0.10098568250128241,np028,120,power,return
0.1,0.2,1179,0.15579132464705442,0.18914334181509754,0.03335201716804312,np028,120,power,return
0.2,0.30000000000000004,869,0.24290663183294517,0.24050632911392406,0.0024003027190211135,np028,120,power,return
0.30000000000000004,0.4,428,0.34332057086549544,0.3037383177570093,0.03958225310848612,np028,120,power,return
0.4,0.5,137,0.4332861926459718,0.35766423357664234,0.07562195906932945,np028,120,power,return
0.5,0.6000000000000001,5,0.5399082154111011,0.2,0.3399082154111011,np028,120,power,return
0.0,0.1,520,0.06684755418101916,0.16346153846153846,0.0966139842805193,np028,120,power,downward
0.1,0.2,447,0.14729857458137677,0.11185682326621924,0.03544175131515753,np028,120,power,downward
0.2,0.30000000000000004,511,0.24984804214106274,0.19765166340508805,0.052196378735974686,np028,120,power,downward
0.30000000000000004,0.4,455,0.3490794711718802,0.34285714285714286,0.0062223283147373465,np028,120,power,downward
0.4,0.5,451,0.44995883699184175,0.4279379157427938,0.022020921249047976,np028,120,power,downward
0.5,0.6000000000000001,510,0.5486273831643851,0.3843137254901961,0.16431365767418898,np028,120,power,downward
0.6000000000000001,0.7000000000000001,356,0.6471944004782685,0.5646067415730337,0.08258765890523478,np028,120,power,downward
0.7000000000000001,0.8,273,0.7505609931542676,0.608058608058608,0.1425023850956596,np028,120,power,downward
0.8,0.9,212,0.8397612769592843,0.7264150943396226,0.11334618261966167,np028,120,power,downward
0.9,1.0,37,0.9143841148438675,0.7027027027027027,0.21168141214116476,np028,120,power,downward
0.0,0.1,1084,0.05260772105835741,0.1429889298892989,0.09038120883094149,np028,120,weather,return
0.1,0.2,1329,0.1479238439747717,0.14672686230248308,0.0011969816722886273,np028,120,weather,return
0.2,0.30000000000000004,740,0.24323841613823033,0.26756756756756755,0.024329151429337226,np028,120,weather,return
0.30000000000000004,0.4,339,0.3436975376225665,0.35693215339233036,0.013234615769763869,np028,120,weather,return
0.4,0.5,242,0.44542901483219577,0.3884297520661157,0.05699926276608008,np028,120,weather,return
0.5,0.6000000000000001,26,0.5467830641118673,0.6153846153846154,0.06860155127274814,np028,120,weather,return
0.6000000000000001,0.7000000000000001,12,0.6298763455085546,0.75,0.12012365449144535,np028,120,weather,return
0.0,0.1,425,0.0593391163825984,0.23294117647058823,0.17360206008798984,np028,120,weather,downward
0.1,0.2,558,0.15053439985351558,0.17383512544802868,0.0233007255945131,np028,120,weather,downward
0.2,0.30000000000000004,439,0.2473614968202117,0.2824601366742597,0.035098639854047986,np028,120,weather,downward
0.30000000000000004,0.4,479,0.3490099760746956,0.3945720250521921,0.045562048977496494,np028,120,weather,downward
0.4,0.5,401,0.45376188037126125,0.3192019950124688,0.13455988535879243,np028,120,weather,downward
0.5,0.6000000000000001,695,0.545144851339686,0.4287769784172662,0.11636787292241985,np028,120,weather,downward
0.6000000000000001,0.7000000000000001,359,0.6424645147755389,0.46518105849582175,0.17728345627971714,np028,120,weather,downward
0.7000000000000001,0.8,269,0.7450154180545031,0.5799256505576208,0.1650897674968823,np028,120,weather,downward
0.8,0.9,147,0.8313812540124202,0.47619047619047616,0.3551907778219441,np028,120,weather,downward
0.0,0.1,1451,0.05164638679606202,0.10613370089593384,0.05448731409987182,np028,120,joint,return
0.1,0.2,1096,0.14485377353987872,0.18339416058394162,0.0385403870440629,np028,120,joint,return
0.2,0.30000000000000004,516,0.24517012281246586,0.32751937984496127,0.0823492570324954,np028,120,joint,return
0.30000000000000004,0.4,419,0.3435083281488162,0.3054892601431981,0.038019068005618106,np028,120,joint,return
0.4,0.5,214,0.43964247420656316,0.4672897196261682,0.02764724541960506,np028,120,joint,return
0.5,0.6000000000000001,72,0.5434301476668142,0.4583333333333333,0.08509681433348087,np028,120,joint,return
0.6000000000000001,0.7000000000000001,4,0.6069108522820247,0.75,0.14308914771797532,np028,120,joint,return
0.0,0.1,752,0.05426413812668133,0.14760638297872342,0.0933422448520421,np028,120,joint,downward
0.1,0.2,624,0.15051518163471383,0.1778846153846154,0.027369433749901556,np028,120,joint,downward
0.2,0.30000000000000004,572,0.2489695019852692,0.23426573426573427,0.014703767719534938,np028,120,joint,downward
0.30000000000000004,0.4,348,0.34528209134132487,0.3333333333333333,0.011948758007991556,np028,120,joint,downward
0.4,0.5,275,0.4498213650187362,0.43272727272727274,0.01709409229146347,np028,120,joint,downward
0.5,0.6000000000000001,293,0.5476436604455772,0.49146757679180886,0.05617608365376836,np028,120,joint,downward
0.6000000000000001,0.7000000000000001,363,0.6593211299741937,0.6060606060606061,0.0532605239135876,np028,120,joint,downward
0.7000000000000001,0.8,380,0.7471203235080802,0.6473684210526316,0.09975190245544863,np028,120,joint,downward
0.8,0.9,165,0.8356036697148242,0.7696969696969697,0.06590670001785459,np028,120,joint,downward
0.0,0.1,1252,0.05097900262528447,0.1869009584664537,0.13592195584116923,np028,240,power,return
0.1,0.2,897,0.14954338326077693,0.17614269788182832,0.02659931462105139,np028,240,power,return
0.2,0.30000000000000004,923,0.24900997729021856,0.2372697724810401,0.011740204809178478,np028,240,power,return
0.30000000000000004,0.4,546,0.3405402566874896,0.23809523809523808,0.10244501859225152,np028,240,power,return
0.4,0.5,154,0.4332247117387419,0.3051948051948052,0.1280299065439367,np028,240,power,return
0.0,0.1,485,0.06135567558152317,0.19381443298969073,0.13245875740816757,np028,240,power,downward
0.1,0.2,415,0.14506671788081832,0.20240963855421687,0.05734292067339855,np028,240,power,downward
0.2,0.30000000000000004,458,0.2508815743956282,0.21397379912663755,0.03690777526899064,np028,240,power,downward
0.30000000000000004,0.4,435,0.3525478573465795,0.31724137931034485,0.035306478036234656,np028,240,power,downward
0.4,0.5,565,0.4523276198141507,0.41415929203539825,0.03816832777875245,np028,240,power,downward
0.5,0.6000000000000001,536,0.546811058371262,0.43283582089552236,0.11397523747573962,np028,240,power,downward
0.6000000000000001,0.7000000000000001,334,0.6468025535402315,0.44011976047904194,0.20668279306118958,np028,240,power,downward
0.7000000000000001,0.8,339,0.7554472647403339,0.45427728613569324,0.3011699786046406,np028,240,power,downward
0.8,0.9,205,0.8298056348816043,0.7170731707317073,0.11273246414989702,np028,240,power,downward
0.0,0.1,1078,0.05322783348349427,0.1437847866419295,0.09055695315843523,np028,240,weather,return
0.1,0.2,1336,0.14767717314177722,0.1467065868263473,0.0009705863154299277,np028,240,weather,return
0.2,0.30000000000000004,718,0.24538150694050806,0.27298050139275765,0.027598994452249587,np028,240,weather,return
0.30000000000000004,0.4,344,0.3474776681179637,0.33430232558139533,0.01317534253656838,np028,240,weather,return
0.4,0.5,246,0.4461441000099403,0.3780487804878049,0.06809531952213543,np028,240,weather,return
0.5,0.6000000000000001,36,0.5352507903646385,0.6388888888888888,0.10363809852425032,np028,240,weather,return
0.6000000000000001,0.7000000000000001,14,0.6390303576161082,0.7142857142857143,0.07525535666960614,np028,240,weather,return
0.0,0.1,407,0.061080172471020724,0.23832923832923833,0.1772490658582176,np028,240,weather,downward
0.1,0.2,578,0.14947852538276724,0.16782006920415224,0.018341543821385003,np028,240,weather,downward
0.2,0.30000000000000004,420,0.2439932816175976,0.25952380952380955,0.015530527906211955,np028,240,weather,downward
0.30000000000000004,0.4,492,0.34972810553729494,0.40040650406504064,0.050678398527745694,np028,240,weather,downward
0.4,0.5,496,0.45333228898751793,0.29435483870967744,0.1589774502778405,np028,240,weather,downward
0.5,0.6000000000000001,634,0.5444430361784269,0.4810725552050473,0.0633704809733796,np028,240,weather,downward
0.6000000000000001,0.7000000000000001,343,0.6427538639190682,0.4752186588921283,0.16753520502693992,np028,240,weather,downward
0.7000000000000001,0.8,261,0.7467671357004992,0.5517241379310345,0.19504299776946477,np028,240,weather,downward
0.8,0.9,141,0.8246150373602175,0.49645390070921985,0.3281611366509976,np028,240,weather,downward
0.0,0.1,1244,0.056555812699589224,0.12218649517684887,0.06563068247725964,np028,240,joint,return
0.1,0.2,1134,0.15038772096315864,0.17901234567901234,0.028624624715853697,np028,240,joint,return
0.2,0.30000000000000004,921,0.2492174588143033,0.250814332247557,0.0015968734332537093,np028,240,joint,return
0.30000000000000004,0.4,353,0.3392427011947284,0.38526912181303113,0.046026420618302755,np028,240,joint,return
0.4,0.5,102,0.4253598092548359,0.5294117647058824,0.10405195545104645,np028,240,joint,return
0.5,0.6000000000000001,10,0.5303769484904485,0.8,0.26962305150955157,np028,240,joint,return
0.6000000000000001,0.7000000000000001,8,0.6332453113496836,0.5,0.13324531134968365,np028,240,joint,return
0.0,0.1,578,0.06273045157091985,0.16782006920415224,0.1050896176332324,np028,240,joint,downward
0.1,0.2,620,0.15005991572285934,0.1870967741935484,0.03703685847068905,np028,240,joint,downward
0.2,0.30000000000000004,614,0.24773428344222648,0.1742671009771987,0.07346718246502779,np028,240,joint,downward
0.30000000000000004,0.4,559,0.34565388607652314,0.41323792486583183,0.06758403878930869,np028,240,joint,downward
0.4,0.5,441,0.4485227045938971,0.4421768707482993,0.006345833845597781,np028,240,joint,downward
0.5,0.6000000000000001,385,0.553803430902195,0.6077922077922078,0.0539887768900128,np028,240,joint,downward
0.6000000000000001,0.7000000000000001,235,0.6469426317094044,0.574468085106383,0.07247454660302133,np028,240,joint,downward
0.7000000000000001,0.8,236,0.7510405416351515,0.6228813559322034,0.12815918570294815,np028,240,joint,downward
0.8,0.9,104,0.8302908376621141,0.6346153846153846,0.1956754530467295,np028,240,joint,downward
0.0,0.1,1262,0.05717130656010599,0.196513470681458,0.139342164121352,np028,480,power,return
0.1,0.2,926,0.14081124678449203,0.1879049676025918,0.04709372081809976,np028,480,power,return
0.2,0.30000000000000004,660,0.24922496518272677,0.1984848484848485,0.050740116697878285,np028,480,power,return
0.30000000000000004,0.4,597,0.34571358734343416,0.23450586264656617,0.11120772469686799,np028,480,power,return
0.4,0.5,289,0.4355808666517887,0.25951557093425603,0.17606529571753265,np028,480,power,return
0.5,0.6000000000000001,38,0.5227959592091909,0.5263157894736842,0.0035198302644933177,np028,480,power,return
0.0,0.1,413,0.06364830142543718,0.1937046004842615,0.13005629905882432,np028,480,power,downward
